CPU,GPU,NFC,OS,RAM,SDCard,SIM,USB,WLAN,batteryCapacity,batteryLife,batteryType,bluetooth,build,chipset,diagonal,dimensions,displayType,earphoneJack,internalMemory,name,resolution,sensors,size,sourceInfo,weight
Hexa-core (2x3.22 GHz Avalanche + 4xX.X GHz Blizzard),Apple GPU (5-core graphics),Yes,"iOS 15, upgradable to iOS 15.2",6GB,No,"Single SIM (Nano-SIM and/or eSIM) or Dual SIM (Nano-SIM/eSIM, dual stand-by)","Lightning, USB 2.0","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot",3095mAH,Endurance rating 85h,"Li-Ion 3095 mAh, non-removable (12.11 Wh)","5.0, A2DP, LE","Glass front (Gorilla Glass), glass back (Gorilla Glass), stainless steel frame",Apple A15 Bionic (5 nm),"6.1""",146.7 x 71.5 x 7.7 mm (5.78 x 2.81 x 0.30 in),"Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (HBM), 1200 nits (peak)",No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM, 1TB 6GB RAM",Apple iPhone 13 Pro,"1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)","Face ID, accelerometer, gyro, proximity, compass, barometer","6.1 inches, 90.2 cm",gsmarena,204 g (7.20 oz)
Hexa-core (2x3.22 GHz Avalanche + 4xX.X GHz Blizzard),Apple GPU (4-core graphics),Yes,"iOS 15, upgradable to iOS 15.2",4GB,No,"Single SIM (Nano-SIM and/or eSIM) or Dual SIM (Nano-SIM, dual stand-by)","Lightning, USB 2.0","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot",3240mAH,nan,"Li-Ion 3240 mAh, non-removable (12.41 Wh)","5.0, A2DP, LE","Glass front (Gorilla Glass), glass back (Gorilla Glass), aluminum frame",Apple A15 Bionic (5 nm),"6.1""",146.7 x 71.5 x 7.7 mm (5.78 x 2.81 x 0.30 in),"Super Retina XDR OLED, HDR10, Dolby Vision, 800 nits (HBM), 1200 nits (peak)",No,"128GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM",Apple iPhone 13,"1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)","Face ID, accelerometer, gyro, proximity, compass, barometer","6.1 inches, 90.2 cm",gsmarena,174 g (6.14 oz)
Hexa-core (2x3.1 GHz Firestorm + 4x1.8 GHz Icestorm),Apple GPU (4-core graphics),Yes,"iOS 14.1, upgradable to iOS 15.2",4GB,No,"Single SIM (Nano-SIM and/or eSIM) or Dual SIM (Nano-SIM, dual stand-by) - for China","Lightning, USB 2.0","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot",2815mAH,nan,"Li-Ion 2815 mAh, non-removable (10.78 Wh)","5.0, A2DP, LE","Glass front (Gorilla Glass), glass back (Gorilla Glass), aluminum frame",Apple A14 Bionic (5 nm),"6.1""",146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),"Super Retina XDR OLED, HDR10, Dolby Vision, 625 nits (HBM), 1200 nits (peak)",No,"64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM",Apple iPhone 12,"1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)","Face ID, accelerometer, gyro, proximity, compass, barometer","6.1 inches, 90.2 cm",gsmarena,164 g (5.78 oz)
Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),Apple GPU (4-core graphics),Yes,"iOS 13, upgradable to iOS 15.2",3GB,No,Nano-SIM and/or eSIM,"Lightning, USB 2.0","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot",1821mAH,nan,"Li-Ion 1821 mAh, non-removable (6.96 Wh)","5.0, A2DP, LE","Glass front, glass back, aluminum frame",Apple A13 Bionic (7 nm+),"4.7""",138.4 x 67.3 x 7.3 mm (5.45 x 2.65 x 0.29 in),"Retina IPS LCD, 625 nits (typ)",nan,"64GB 3GB RAM, 128GB 3GB RAM, 256GB 3GB RAM",Apple iPhone SE (2020),"750 x 1334 pixels, 16:9 ratio (~326 ppi density)","Fingerprint (front-mounted), accelerometer, proximity, gyro, compass, barometer","4.7 inches, 60.9 cm",gsmarena,148 g (5.22 oz)
Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),Apple GPU (4-core graphics),Yes,"iOS 13, upgradable to iOS 15.2",4GB,No,"Single SIM (Nano-SIM and/or eSIM) or Dual SIM (Nano-SIM, dual stand-by) - for China","Lightning, USB 2.0","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot",3110mAH,nan,"Li-Ion 3110 mAh, non-removable (11.91 Wh)","5.0, A2DP, LE","Glass front (Gorilla Glass), glass back (Gorilla Glass), aluminum frame (7000 series)",Apple A13 Bionic (7 nm+),"6.1""",150.9 x 75.7 x 8.3 mm (5.94 x 2.98 x 0.33 in),"Liquid Retina IPS LCD, 625 nits (typ)",nan,"64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM",Apple iPhone 11,"828 x 1792 pixels, 19.5:9 ratio (~326 ppi density)","Face ID, accelerometer, gyro, proximity, compass, barometer","6.1 inches, 90.3 cm",gsmarena,194 g (6.84 oz)
Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680),Adreno 660,Yes,"Android 11, upgradable to Android 12, ZenUI",6-16GB,No,"Dual SIM (Nano-SIM, dual stand-by)","USB Type-C 2.0, USB On-The-Go","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot",4000mAH,nan,"Li-Po 4000 mAh, non-removable","5.2, A2DP, LE, aptX HD, aptX Adaptive","Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 3), aluminum frame",Qualcomm SM8350 Snapdragon 888 5G (5 nm),"5.9""",148 x 68.5 x 8.9 mm (5.83 x 2.70 x 0.35 in),"Super AMOLED, 120Hz, HDR10+, 700 nits (HBM), 1100 nits (peak)",nan,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM",Asus Zenfone 8,"1080 x 2400 pixels, 20:9 ratio (~446 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5.9 inches, 84.0 cm",gsmarena,169 g (5.96 oz)
Octa-core (1x2.99 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680),Adreno 660,Yes,"Android 11, ROG UI",8-16GB,No,"Dual SIM (Nano-SIM, dual stand-by)","USB Type-C 3.1 (side), USB Type-C 2.0 (bottom), accessory connector, USB On-The-Go","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot",6000mAH,nan,"Li-Po 6000 mAh, non-removable","5.2, A2DP, LE, aptX HD, aptX Adaptive","Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 3), aluminum frame",Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),"6.78""",172.8 x 77.3 x 9.9 mm (6.80 x 3.04 x 0.39 in),"AMOLED, 1B colors, 144Hz, HDR10+, 800 nits (typ), 1200 nits (peak)",nan,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 512GB 18GB RAM",Asus ROG Phone 5s,1080 x 2448 pixels (~395 ppi density),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","6.78 inches, 109.5 cm",gsmarena,238 g (8.40 oz)
Octa-core (1x2.99 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680),Adreno 660,Yes,"Android 11, ROG UI",18GB,No,"Dual SIM (Nano-SIM, dual stand-by)","USB Type-C 3.1 (side), USB Type-C 2.0 (bottom), accessory connector, USB On-The-Go","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot",6000mAH,nan,"Li-Po 6000 mAh, non-removable","5.2, A2DP, LE, aptX HD, aptX Adaptive","Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 3), aluminum frame",Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),"6.78""",172.8 x 77.3 x 9.9 mm (6.80 x 3.04 x 0.39 in),"AMOLED, 1B colors, 144Hz, HDR10+, 800 nits (typ), 1200 nits (peak)",nan,512GB 18GB RAM,Asus ROG Phone 5s Pro,1080 x 2448 pixels (~395 ppi density),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","6.78 inches, 109.5 cm",gsmarena,238 g (8.40 oz)
Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680),Adreno 660,Yes,Android 11,12GB,XC (uses shared SIM slot),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","USB Type-C 3.2; USB On-The-Go, DisplayPort","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot",4500mAH,nan,"Li-Po 4500 mAh, non-removable","5.2, A2DP, aptX HD, LE","Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 6), aluminum frame",Qualcomm SM8350 Snapdragon 888 5G (5 nm),"6.5""",166 x 72 x 8.9 mm (6.54 x 2.83 x 0.35 in),"OLED, 1B colors, 120Hz, HDR BT.2020",nan,512GB 12GB RAM,Sony Xperia Pro-I,"1644 x 3840 pixels, 21:9 ratio (~643 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum","6.5 inches, 98.6 cm",gsmarena,211 g (7.44 oz)
Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680),Adreno 660,Yes,"Android 11, upgradable to Android 12",12GB,XC (uses shared SIM slot),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","USB Type-C 3.1; USB On-The-Go, video output","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot",4500mAH,nan,"Li-Po 4500 mAh, non-removable","5.2, A2DP, LE, aptX HD","Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 6), aluminum frame",Qualcomm SM8350 Snapdragon 888 5G (5 nm),"6.5""",165 x 71 x 8.2 mm (6.50 x 2.80 x 0.32 in),"OLED, 1B colors, 120Hz, HDR BT.2020",nan,"256GB 12GB RAM, 512GB 12GB RAM",Sony Xperia 1 III,"1644 x 3840 pixels, 21:9 ratio (~643 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum","6.5 inches, 98.6 cm",gsmarena,186 g / 187.1 g (mmWave) (6.56 oz)
Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680),Adreno 660,Yes,"Android 11, upgradable to Android 12",8GB,XC (uses shared SIM slot),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","USB Type-C 3.1; USB On-The-Go, video output","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot",4500mAH,nan,"Li-Po 4500 mAh, non-removable","5.2, A2DP, aptX HD, LE","Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame",Qualcomm SM8350 Snapdragon 888 5G (5 nm),"6.1""",157 x 68 x 8.2 mm (6.18 x 2.68 x 0.32 in),"OLED, 1B colors, 120Hz, HDR BT.2020",nan,"128GB 8GB RAM, 256GB 8GB RAM",Sony Xperia 5 III,"1080 x 2520 pixels, 21:9 ratio (~449 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum","6.1 inches, 86.9 cm",gsmarena,168 g (5.93 oz)
Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver),Adreno 619,Yes,Android 11,6GB,XC (uses shared SIM slot),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","USB Type-C 3.1; USB On-The-Go, video output","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",4500mAH,nan,"Li-Po 4500 mAh, non-removable","5.1, A2DP, LE, aptX HD","Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), plastic frame",Qualcomm SM6350 Snapdragon 690 5G (8 nm),"6.0""",154 x 68 x 8.3 mm (6.06 x 2.68 x 0.33 in),"OLED, 1B colors, HDR",nan,"128GB 6GB RAM, 256GB 6GB RAM",Sony Xperia 10 III,"1080 x 2520 pixels, 21:9 ratio (~457 ppi density)","Fingerprint (side-mounted), accelerometer, proximity, compass","6.0 inches, 84.1 cm",gsmarena,169 g (5.96 oz)
Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),Adreno 650,Yes,"Android 10, planned upgrade to Android 11",8GB,XC (uses shared SIM slot),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",USB Type-C 3.1; USB On-The-Go,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot",4000mAH,nan,"Li-Ion 4000 mAh, non-removable","5.1, A2DP, aptX HD, LE","Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),"6.1""",158 x 68 x 8 mm (6.22 x 2.68 x 0.31 in),"OLED, 120Hz, HDR BT.2020",No,"128GB 8GB RAM, 256GB 8GB RAM",Sony Xperia 5 II,"1080 x 2520 pixels, 21:9 ratio (~449 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum","6.1 inches, 86.9 cm",gsmarena,163 g (5.75 oz)
Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,Yes,"Android 10, upgradable to Android 11",8/12GB,XC (uses shared SIM slot),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",USB Type-C 3.1; USB On-The-Go,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot",4000mAH,nan,"Li-Po 4000 mAh, non-removable","5.1, A2DP, aptX HD, LE","Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),"6.5""",165.1 x 71.1 x 7.6 mm (6.5 x 2.80 x 0.30 in),"OLED, 1B colors, HDR BT.2020",nan,"256GB 8GB RAM, 256GB 12GB RAM",Sony Xperia 1 II,"1644 x 3840 pixels, 21:9 ratio (~643 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum","6.5 inches, 98.6 cm",gsmarena,181.4 g (6.38 oz)
Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,Yes,"Android 10, upgradable to Android 11",4GB,XC (uses shared SIM slot),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",USB Type-C 2.0; USB On-The-Go,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",3600mAH,nan,"Li-Po 3600 mAh, non-removable","5.0, A2DP, LE, aptX HD","Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), plastic frame",Qualcomm SDM665 Snapdragon 665 (11 nm),"6.0""",157 x 69 x 8.2 mm (6.18 x 2.72 x 0.32 in),OLED,nan,"64GB 4GB RAM, 128GB 4GB RAM",Sony Xperia 10 II,"1080 x 2520 pixels, 21:9 ratio (~457 ppi density)","Fingerprint (side-mounted), accelerometer, proximity, compass","6.0 inches, 84.1 cm",gsmarena,151 g (5.33 oz)
